Parkinginfo_px,Parkinginfo,Py,Px
,,25.07353,121.43731
,,25.08736,121.45448
,,25.15723,121.40275
,,24.95905,121.54328
,,24.83409,121.52614
,,25.20429,121.68786
,,25.16961,121.44153
,,24.95593,121.40312
,,24.99095,121.65974
,,25.02821,121.71415
,,25.27467,121.55291
,,24.99106,121.66045
,,25.12881,121.92333
,,24.97814,121.40613
,,25.10661,121.84348
,,24.95156,121.34954
,,25.03524,121.45478
,,24.97849,121.49471
,,25.02811,121.47965
,,24.93442,121.71249
,,24.86088,121.55157
,,25.03339,121.45153
,,25.18235,121.45373
,,25.11213,121.92211
,,25.19605,121.68819
,,24.99992,121.40337
,,25.10811,121.84001
,,25.00123,121.61098
,,25.19252,121.47463
,,25.00144,121.50108
,,25.01191,121.51731
,,25.00021,121.41405
,,24.98058,121.42609
,,25.10989,121.82321
,,25.01144,121.45586
,,25.16832,121.64403
,,24.99984,121.50794
,,24.97806,121.49601
,,25.00097,121.51093
,,24.97191,121.49966
,,25.00122,121.61344
,,25.17693,121.43515
,,25.10921,121.84426
,,25.01178,121.99164
,,25.17123,121.43941
,,25.18946,121.42821
,,25.08262,121.82462
,,25.00219,121.49861
,,25.26554,121.56729
,,25.08282,121.47201
,,24.98607,121.46464
,,25.25158,121.50886
,,25.00136,121.51172
,,25.10898,121.80389
,,25.25868,121.50081
,,24.93619,121.70653
,,25.04128,121.77622
,,24.95823,121.35993
,,25.25147,121.46991
,,24.98822,121.51405
,,24.86359,121.55141
,,24.97354,121.44298
,,24.99838,121.47181
,,25.17746,121.46523
,,25.05086,121.48211
,,25.17603,121.43449
,,24.86088,121.55157
,,24.93781,121.53178
,,24.91267,121.53949
,,24.95185,121.48709
,,24.90465,121.55407
,,24.99567,121.41947
,,25.04259,121.77655
,,25.24465,121.46416
,,24.96039,121.53978
,,25.00165,121.61688
,,25.17407,121.43642
,,25.03361,121.83951
,,25.10631,121.85938
,,25.17512,121.70592
,,24.93333,121.36666
,,25.11731,121.91613
,,25.03023,121.47097
,,25.01703,121.69742
,,25.23011,121.62105
,,25.28345,121.51064
,,24.99001,121.40999
,,25.03023,121.47097
,,25.03488,121.86486
,,25.10881,121.84552
,,24.84479,121.45019
,,24.86376,121.55144
,,25.17538,121.43276
,,25.07043,121.63068
,,24.94134,121.50475
,,24.98684,121.49942
,,25.16953,121.44121
,,25.05345,121.80194
,,24.96709,121.44324
,,25.17822,121.43077
,,25.28783,121.53111
,,25.00405,121.95827
,,25.12892,121.41877
,,25.17822,121.43077
,,25.02419,121.72316
,,25.05193,121.85711
,,25.22325,121.64467
,,25.03091,121.74881
,,24.99904,121.42756
,,24.87178,121.40553
,,24.96877,121.54213
,,25.16591,121.49126
,,25.03476,121.86478
,,25.17822,121.43077
,,24.99072,121.65915
,,24.99901,121.61286
,,24.93568,121.70982
,,24.98721,121.84478
,,25.04142,121.92752
,,25.10854,121.84341
,,25.18066,121.69656
,,25.01507,121.80464
,,25.18954,121.47666
,,25.16966,121.44077
,,25.22606,121.52925
,,24.94087,121.53555
,,25.24926,121.50904
,,25.08257,121.48728
,,25.12393,121.91571
,,25.22191,121.63825
,,25.11862,121.86441
,,25.16965,121.65969
,,25.12248,121.86119
,,25.17205,121.43831
,,24.93932,121.71246
,,25.11019,121.45562
,,25.07423,121.37597
,,24.95743,121.53468
,,25.17621,121.45042
,,25.18738,121.45421
,,24.97501,121.71806
,,25.22705,121.65121
,,24.99083,121.66111
,,24.98951,121.42477
,,24.96916,121.49555
,,25.00123,121.47898
,,25.29331,121.56798
,,25.28272,121.51984
,,25.08625,121.82766
,,24.86803,121.40409
,,25.08137,121.46111
,,25.05051,121.47596
,,25.01711,121.94271
,,25.20518,121.69136
,,25.11592,121.85836
,,25.04366,121.42383
,,25.03856,121.86651
,,25.26471,121.51611
,,24.89654,121.42623
,,25.02611,121.47233
,,24.94926,121.48256
,,24.86407,121.55151
,,25.12545,121.45701
,,24.92346,121.54498
,,25.11055,121.84544
,,25.17324,121.43476
,,24.78331,121.56528
,,24.94401,121.49556
,,25.01553,121.50524
,,25.23988,121.61489
,,24.90879,121.42208
,,25.00354,121.47415
,,25.00001,121.64999
,,25.22747,121.64107
,,25.01055,121.46907
,,25.01114,121.50701
,,24.99122,121.50221
,,25.18566,121.48609
,,24.93469,121.71337
,,25.02391,121.72479
