,離婚對數 / 新北市 ,離婚對數 / 臺北市 ,離婚對數 / 桃園市 ,離婚對數 / 臺中市 ,離婚對數 / 臺南市 ,離婚對數 / 高雄市 ,離婚對數 / 宜蘭縣 ,離婚對數 / 新竹縣 ,離婚對數 / 苗栗縣 ,離婚對數 / 彰化縣 ,離婚對數 / 南投縣 ,離婚對數 / 雲林縣 ,離婚對數 / 嘉義縣 ,離婚對數 / 屏東縣 ,離婚對數 / 臺東縣 ,離婚對數 / 花蓮縣 ,離婚對數 / 澎湖縣 ,離婚對數 / 基隆市 ,離婚對數 / 新竹市 ,離婚對數 / 嘉義市 ,離婚對數 / 金門縣 ,離婚對數 / 連江縣 
83年,"5,465","4,986","2,475","3,263","2,409","4,284",635,596,661,"1,026",719,618,572,"1,217",432,763,87,775,512,384,15,5
84年,"5,794","5,084","2,574","3,456","2,483","4,554",595,629,737,"1,179",747,664,581,"1,296",476,721,100,757,525,392,12,2
85年,"6,222","5,528","2,839","3,681","2,689","4,969",695,640,765,"1,186",742,747,652,"1,357",478,792,90,812,590,379,18,4
86年,"6,876","5,344","3,244","4,305","2,964","5,378",642,662,802,"1,450",825,807,761,"1,576",515,770,112,871,623,439,16,4
87年,"7,722","5,788","3,791","4,839","3,377","5,707",808,815,968,"1,507",959,950,823,"1,574",537,950,132,"1,035",812,480,24,5
88年,"8,504","6,327","4,285","5,423","3,768","6,550",917,920,"1,042","1,786","1,005","1,125",889,"1,996",621,"1,121",147,"1,197",835,517,22,6
89年,"9,515","6,588","4,584","6,082","3,977","6,920",937,"1,004","1,159","1,916","1,083","1,253",992,"2,144",681,"1,106",127,"1,128",874,568,26,6
90年,"10,043","6,853","5,207","6,501","4,046","7,676","1,054","1,173","1,239","2,150","1,210","1,314","1,083","2,179",655,"1,075",145,"1,288",988,605,48,6
91年,"11,023","7,390","5,556","6,825","4,378","8,291","1,146","1,251","1,405","2,288","1,255","1,542","1,206","2,393",714,"1,180",185,"1,363","1,024",725,64,9
92年,"11,825","7,137","5,774","7,334","4,801","8,849","1,147","1,247","1,442","2,527","1,391","1,688","1,283","2,656",765,"1,451",187,"1,421","1,126",751,57,7
93年,"11,342","6,843","5,770","7,002","4,674","8,567","1,135","1,327","1,425","2,362","1,351","1,548","1,315","2,626",728,"1,426",190,"1,288","1,084",718,58,17
94年,"11,339","6,589","6,016","7,032","4,668","8,366","1,149","1,280","1,434","2,416","1,282","1,669","1,329","2,522",689,"1,307",187,"1,373","1,030",812,70,12
95年,"11,810","6,930","6,376","7,235","4,716","8,569","1,224","1,441","1,441","2,546","1,361","1,607","1,436","2,454",686,"1,215",217,"1,290","1,093",777,99,17
96年,"10,716","6,259","5,981","6,613","4,292","7,383","1,101","1,268","1,326","2,430","1,292","1,593","1,184","2,274",648,"1,051",210,"1,120","1,020",630,112,15
97年,"10,449","5,845","5,609","6,315","4,204","7,285","1,029","1,240","1,302","2,314","1,144","1,447","1,134","2,034",596,"1,011",174,"1,105",998,631,119,10
98年,"10,638","6,007","5,704","6,410","4,200","7,436","1,039","1,242","1,328","2,341","1,255","1,456","1,233","2,243",605,977,199,"1,065","1,053",666,118,8
99年,"10,934","6,092","6,126","6,583","4,140","7,308","1,091","1,299","1,290","2,356","1,195","1,492","1,279","2,086",597,"1,036",198,"1,178","1,016",690,117,12
100年,"10,879","5,841","5,927","6,420","4,299","7,226","1,096","1,263","1,303","2,315","1,218","1,433","1,198","2,127",562,893,190,"1,068",957,685,96,12
101年,"10,613","5,818","5,832","6,390","4,245","7,093",966,"1,362","1,263","2,268","1,105","1,431","1,147","1,946",555,854,200,"1,060","1,045",664,113,10
102年,"10,146","5,442","5,644","6,172","3,983","6,656",925,"1,262","1,257","2,238","1,038","1,386","1,104","1,880",604,891,210,"1,012",971,637,134,12
103年,"9,851","5,528","5,438","6,295","3,924","6,392",970,"1,312","1,307","2,240","1,136","1,397","1,061","1,865",569,974,193,970,923,616,212,17
104年,"2,142","1,286","1,295","1,423",876,"1,461",219,294,275,545,242,328,235,458,130,202,47,206,213,142,46,6
